train_loss,train_error,test_loss,test_error
1.7039346182250976,0.63166,1.5547309005737304,0.5698
1.4944606434631347,0.55278,1.5008644515991212,0.5369999999999999
1.3962842366027832,0.51146,1.301466682434082,0.477
1.3229799752807616,0.47988,1.3274400062561036,0.46340000000000003
1.262428993988037,0.45443999999999996,1.223504906463623,0.4365
1.214849429168701,0.43478000000000006,1.2375840713500976,0.4365
1.170406308441162,0.41781999999999997,1.1654869110107422,0.4174
1.1657801638793945,0.40564,1.1309635047912598,0.40349999999999997
1.4345771546936035,0.45628,4.847271817016601,0.8642
1.64680986038208,0.55026,3.8918148712158205,0.902
2.635364002990723,0.75778,2.867370649719238,0.8609
2.519221025085449,0.87082,2.3323771942138674,0.8385
2.351692762451172,0.84102,2.798034765625,0.8216
2.2518877969360354,0.8123199999999999,3.636263166809082,0.7957
2.1801998428344724,0.79208,25.485951121520998,0.791
361.2491105368042,0.7779,70097034691.186,0.9
1055.3596089694213,0.76928,8.412328279742086e+16,0.8898
97428.27754307221,0.76634,3.6050753826366e+16,0.9
2534079.800799157,0.76824,3.3780762416393843e+22,0.901
8508502.99309936,0.78534,2.385643286669148e+30,0.8176
41853618.482508816,0.8008,2.319241877746582,0.9
256575205.62266442,0.87202,2.3053530960083006,0.9
352083934.23258704,0.8958200000000001,2.313655194091797,0.9
328671999.53559846,0.90032,2.318740327453613,0.9
288170481.7065157,0.9003,2.5395770584106447,0.9
271385933.9080459,0.899,2.9183134216308595,0.9
288551629.7836784,0.89832,3.35544811706543,0.9
274722015.21265125,0.89796,3.084858923339844,0.9
286567935.7352606,0.9002,3.358557443237305,0.9
242683717.40630093,0.89908,8.153056372070312,0.9
236586249.93333265,0.90078,73.24705795898437,0.9
570274722.9278758,0.899,7827.274796875,0.9
921062731.1934744,0.89996,89327.76385,0.9
317857350.78112,0.8999,234893.3334,0.9
339353992.11438,0.89934,280601.1264,0.9
410045023.3426,0.90102,410726.0692,0.9
658073870.98384,0.9027000000000001,514182.966,0.9
1612189472.28656,0.90054,477395.2864,0.9
1469492560.25108,0.89908,400189.8402,0.9
5675337434.95684,0.90032,436270.25,0.9
72724828175.8948,0.8974,194688.5163,0.9
72115585819.80527,0.90018,111741.3453,0.9
72554719148.98175,0.9024,79056.2623,0.9
69342437390.02853,0.9002600000000001,47523.375425,0.9
,0.9002,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
