train_loss,train_error,test_loss,test_error
1.7356684420776367,0.64886,1.5281588943481446,0.5656
1.5524312210083009,0.57682,1.5140337539672852,0.5474
1.4793995518493652,0.5468,1.4434255241394043,0.5186
1.434848101043701,0.52484,1.3915799194335938,0.5144
1.3997779963684083,0.51498,1.3449357192993163,0.48839999999999995
1.3733431663513183,0.50124,6.476474606323242,0.744
1.366775954284668,0.48985999999999996,27.307285284423827,0.7256
1.3721388638305665,0.49061999999999995,43.19754136352539,0.7141
1.4017684484863282,0.49788,239.43941398010253,0.772
1.758498574371338,0.50024,17451.93720912628,0.6874
2.5620708963012695,0.52674,749739.5690744736,0.6918
30.13027561065674,0.5398000000000001,725404784.5206877,0.6339
1785.119483126526,0.63046,15172283.931287574,0.887
5691.443202539062,0.7812,52759169.84286336,0.8807
2054.4445080493165,0.82434,81727911.22518912,0.8451
387123.69126453,0.85826,372086704841.5452,0.8487
11849775.953415977,0.84578,48306770124.74838,0.8422000000000001
14047449.533588769,0.8346,347037590088.739,0.837
157267576.06112054,0.83574,88284250553.54552,0.835
140034491.0957552,0.831,12235169402158.174,0.8174
182438911.61500657,0.84232,10902869663239.082,0.8806
466183729.20907086,0.8938200000000001,373004854661871.94,0.9
1419422125.298429,0.9069,525328083442144.75,0.9
696471682.9856479,0.90204,2086850366821655.8,0.8989
2195395743.1421423,0.89392,1.0159253880166769e+19,0.9036
17181811538.61485,0.8981,1.29202760347444e+20,0.8996999999999999
17033307364.053366,0.89738,1.5803056790568276e+21,0.8999
18911110069.51204,0.89984,5.254830235222158e+19,0.9001
15283346812.872375,0.8979,7.0380277109954e+22,0.8996999999999999
18594486510.6188,0.89712,1.678501612300075e+23,0.9
46339764378.01237,0.9003,6.756805865808009e+29,0.8982
43594748724.94521,0.9,1.965972604912477e+25,0.8991
20984482939228.918,0.90156,4988369475733286.0,0.8998
18967449776131.816,0.8996999999999999,2.2207486047599756e+16,0.898
173862580517.40704,0.89926,3.2641780764854047e+18,0.9115
,0.89952,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
