train_loss,train_error,test_loss,test_error
2.5655158892822265,0.84548,1888.395967555237,0.9008
40986363065126.484,0.90048,5.465404738246666e+19,0.9
,0.90156,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
,0.9,,0.9
