train_loss,train_err,test_loss,test_err,grad_norm,squared_grad_norm
1.4365321448898316,0.5277000000000001,0.009285318595170974,0.4183,2.840966990900392,0.20281440633925996
1.0003268281555175,0.35529999999999995,0.007968351954221726,0.35440000000000005,2.2354218726913415,0.1474608336392494
0.7996824802780151,0.27984,0.006632193011045456,0.2873,1.9389920672022616,0.1182457998713977
0.6891009580612183,0.23907999999999996,0.0060951951384544375,0.26849999999999996,1.7761621460480062,0.10712794906956406
0.6200710869979859,0.21299999999999997,0.005334804791212082,0.23129999999999995,1.6761209363938174,0.10402596902385067
0.5673705895900726,0.19352000000000003,0.00599992932677269,0.24470000000000003,1.6380103042725707,0.09867868952825264
0.5225980365180969,0.17728,0.006660176020860672,0.26539999999999997,1.6275767565930102,0.09562931099869722
0.49224741275787354,0.1694,0.005125739094614982,0.20830000000000004,1.6424186775885432,0.09424367231089943
0.45779927892684935,0.15464,0.004707664507627487,0.18989999999999996,1.6239506970528648,0.0888952526452579
0.43410698911666873,0.14866000000000001,0.0055079388648271565,0.22560000000000002,1.6292982410158219,0.08333381548885292
0.415788970375061,0.14173999999999998,0.0037809830725193025,0.15849999999999997,1.668441056157066,0.08628086012441159
0.39324765438079834,0.13507999999999998,0.0037197752103209497,0.1572,1.6868957854943725,0.08900951024829462
0.38064729251861573,0.12992000000000004,0.0035964314579963685,0.15539999999999998,1.7319150479461909,0.09614832288432072
0.3703081604385376,0.12532,0.004236406767368316,0.1723,1.732642079510837,0.08486003277838154
0.35362873363494873,0.1199,0.004020135691761971,0.16510000000000002,1.75328604647439,0.09335397936888566
0.3407518913459778,0.11734,0.0038334495306015016,0.16159999999999997,1.766039402550449,0.08916909195708163
0.33811622172355654,0.11465999999999998,0.003576897679269314,0.14890000000000003,1.7943638352567366,0.09024351895245783
0.3291004877281189,0.11141999999999996,0.003306472161412239,0.13460000000000005,1.8036814381547455,0.08727089442669021
0.32159763860702517,0.10980000000000001,0.0035009402334690094,0.14849999999999997,1.8133596009168762,0.08622643831540504
0.3132083138656616,0.10762000000000005,0.003094734498858452,0.1261,1.8734196723011614,0.09805355412733227
0.303917707529068,0.10428000000000004,0.003597794917225838,0.14580000000000004,1.8784911734341296,0.09322145196740148
0.30022494359016416,0.10155999999999998,0.0035101668372750283,0.14249999999999996,1.856575137015749,0.09017121310002561
0.2900797216701508,0.09863999999999995,0.003052662765979767,0.12339999999999995,1.8917449512413709,0.09350717938817624
0.2976002234458923,0.10126000000000002,0.0031559921905398368,0.12880000000000003,1.9242159670732855,0.10013762464468495
0.28085146701812747,0.09626000000000001,0.0029871358424425126,0.122,1.8843125555339189,0.09003862797445852
0.27874932983398437,0.09452000000000005,0.00359418490678072,0.14259999999999995,1.9349993610447374,0.09729066204282895
0.2821937710762024,0.09726000000000001,0.0032256613090634345,0.12980000000000003,1.9631762869732017,0.10042635986981845
0.2749367826652527,0.09486000000000006,0.00325237408131361,0.12960000000000005,1.947277888804735,0.09784600443933053
0.2702673662185669,0.09218000000000004,0.0036576163247227667,0.14180000000000004,1.9898108875610427,0.10642143241638538
0.26771571427345275,0.09211999999999998,0.0030031356781721114,0.12180000000000002,1.9677759171451925,0.10216978877907992
0.2688305436706543,0.09108000000000005,0.003058395553380251,0.126,1.9815672599655498,0.09796427004754292
0.26692467108726503,0.09148,0.0029963924929499626,0.12670000000000003,1.9846964235808873,0.10010753592826649
0.2569459786224365,0.08796000000000004,0.0029430713072419166,0.11750000000000005,1.9685076110949131,0.09597349846600225
0.2557154261064529,0.08721999999999996,0.002861016537249088,0.11639999999999995,1.9816087596569485,0.09623871707601364
0.25844014768600465,0.08840000000000003,0.0030311845924705268,0.12090000000000001,2.0024277176448297,0.09412347819733924
0.2518054436779022,0.0867,0.0031600984141230584,0.12409999999999999,1.9995285044339244,0.09625305806936173
0.24800497330665588,0.08520000000000005,0.0030549462988972665,0.12239999999999995,2.000227981011948,0.09604128891413333
0.2507474585533142,0.08672000000000002,0.0029526946291327477,0.11870000000000003,2.0260544138848395,0.0937684397107127
0.2490094552898407,0.08452000000000004,0.0029989855378866194,0.12190000000000001,2.070987474451201,0.10735168781872415
0.2422319792318344,0.08440000000000003,0.0028485175151377914,0.11770000000000003,2.0330518392300516,0.10158903096714748
0.24500147214889526,0.08342000000000005,0.002897329369187355,0.12009999999999998,2.0885438221108372,0.10474844173883685
0.24313072748184203,0.08320000000000005,0.0030317887187004088,0.12490000000000001,2.0541423134678225,0.100999277015046
0.23677433873176576,0.08116000000000001,0.0027698130831122396,0.10880000000000001,2.025334065216635,0.09705798737320012
0.2372478849029541,0.08209999999999995,0.00346915775090456,0.13480000000000003,2.075253237113539,0.10778968690889468
0.23442144963264466,0.08126,0.0028743908762931822,0.11529999999999996,2.058667092363627,0.10338542431132616
0.2352627305984497,0.08086000000000004,0.0030503710087388756,0.12439999999999996,2.1025802324964897,0.11214081681712257
0.23508078853607178,0.08177999999999996,0.002904750184714794,0.11880000000000002,2.10008716654362,0.10897519757757483
0.23329834775447844,0.08084000000000002,0.0028665358513593675,0.11380000000000001,2.0839277999551373,0.10838083851566
0.2280954631996155,0.07777999999999996,0.0030856174767017364,0.12190000000000001,2.139135747912458,0.1155845929957294
0.2263438151741028,0.07647999999999999,0.003488421478867531,0.13329999999999997,2.0713987749155818,0.11038474251796124
0.2307375418806076,0.07904,0.0030035575449466707,0.119,2.128562896081015,0.11552792950865366
0.22682229864120484,0.07755999999999996,0.003436744333803654,0.13180000000000003,2.114317010788648,0.11064694177756482
